id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_il_6m,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount
58310923,,12000.0,12000.0,12000.0, 60 months, 15.61%,289.34,D,D1,,n/a,RENT,31000.0,Verified,Sep-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=58310923,,debt_consolidation,Debt consolidation,258xx,WV,24.2,1.0,Dec-1980,685.0,689.0,0.0,10.0,,14.0,0.0,8907.0,54.3%,34.0,w,8631.37,8631.37,6355.07,6355.07,3368.63,2986.44,0.0,0.0,0.0,Jul-2017,289.34,Aug-2017,Jul-2017,724.0,720.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,50514.0,,,,,,,,,,,,16400.0,,,,4.0,4210.0,2362.0,64.2,0.0,0.0,416.0,245.0,7.0,7.0,0.0,7.0,,15.0,10.0,0.0,3.0,5.0,4.0,5.0,12.0,12.0,22.0,5.0,14.0,0.0,0.0,0.0,2.0,94.1,75.0,0.0,0.0,58509.0,50514.0,6600.0,42109.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59141828,,24175.0,24175.0,24150.0, 60 months, 21.99%,667.55,F,F1,caregiver,10+ years,MORTGAGE,64000.0,Source Verified,Sep-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59141828,,debt_consolidation,Debt consolidation,992xx,WA,37.46,0.0,Mar-2004,675.0,679.0,0.0,41.0,,16.0,0.0,40140.0,91.9%,35.0,f,0.0,0.0,9983.72,9973.4,3836.47,6147.25,0.0,0.0,0.0,Dec-2016,667.55,,Jun-2017,554.0,550.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,228069.0,,,,,,,,,,,,43700.0,,,,11.0,14254.0,218.0,97.8,0.0,0.0,127.0,137.0,1.0,1.0,3.0,1.0,41.0,,41.0,0.0,4.0,12.0,4.0,7.0,16.0,12.0,15.0,12.0,16.0,0.0,0.0,0.0,4.0,97.1,100.0,0.0,0.0,256811.0,80385.0,10000.0,49388.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59152636,,10800.0,10800.0,10800.0, 36 months, 12.69%,362.29,C,C2,Accountant,2 years,RENT,50000.0,Verified,Sep-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59152636,,debt_consolidation,Debt consolidation,114xx,NY,18.29,0.0,May-2003,665.0,669.0,0.0,31.0,51.0,12.0,7.0,7179.0,34.3%,20.0,w,4691.27,4691.27,7999.69,7999.69,6108.73,1890.96,0.0,0.0,0.0,Jul-2017,362.29,Aug-2017,Jul-2017,709.0,705.0,0.0,31.0,1.0,INDIVIDUAL,,,,0.0,0.0,175045.0,,,,,,,,,,,,20900.0,,,,3.0,14587.0,13034.0,29.9,0.0,0.0,147.0,138.0,13.0,13.0,0.0,13.0,31.0,6.0,31.0,0.0,6.0,7.0,7.0,9.0,9.0,8.0,11.0,7.0,12.0,0.0,0.0,0.0,0.0,93.7,57.1,1.0,6.0,198665.0,175045.0,18600.0,177765.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
58180568,,28000.0,28000.0,28000.0, 60 months,  7.89%,566.27,A,A5,,n/a,MORTGAGE,125000.0,Source Verified,Sep-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=58180568,,credit_card,Credit card refinancing,330xx,FL,17.93,0.0,May-1977,695.0,699.0,0.0,,,15.0,0.0,65602.0,48%,24.0,w,0.0,0.0,30095.6,30095.6,28000.0,2095.6,0.0,0.0,0.0,Sep-2016,23897.31,,Jun-2017,744.0,740.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,79067.0,,,,,,,,,,,,136400.0,,,,3.0,5271.0,10783.0,51.0,0.0,0.0,141.0,459.0,10.0,4.0,0.0,23.0,,4.0,,0.0,12.0,14.0,18.0,18.0,3.0,14.0,21.0,10.0,15.0,,0.0,0.0,2.0,100.0,8.3,0.0,0.0,151063.0,79067.0,129400.0,14663.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59172142,,2500.0,2500.0,2500.0, 36 months, 16.99%,89.12,D,D3,Field Service Specialist,3 years,RENT,60000.0,Verified,Sep-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59172142,,major_purchase,Major purchase,295xx,SC,32.12,0.0,Oct-1998,670.0,674.0,1.0,,,17.0,0.0,16616.0,86.1%,43.0,f,0.0,0.0,84.4,84.4,53.72,30.68,0.0,0.0,0.0,Oct-2015,89.12,,Feb-2017,584.0,580.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,45898.0,,,,,,,,,,,,19300.0,,,,7.0,2869.0,582.0,93.3,0.0,0.0,202.0,103.0,27.0,3.0,0.0,29.0,,3.0,,0.0,6.0,12.0,6.0,8.0,20.0,13.0,23.0,12.0,17.0,0.0,0.0,0.0,4.0,100.0,100.0,0.0,0.0,62023.0,45898.0,8700.0,42723.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59152478,,18500.0,18500.0,18475.0, 36 months, 16.55%,655.44,D,D2,Accountant analyst ,6 years,MORTGAGE,54300.0,Source Verified,Sep-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59152478,,debt_consolidation,Debt consolidation,547xx,WI,37.1,0.0,Sep-2000,725.0,729.0,0.0,,,16.0,0.0,36813.0,77.2%,35.0,f,8292.91,8281.7,14402.67,14383.21,10207.09,4195.58,0.0,0.0,0.0,Jul-2017,655.44,Aug-2017,Jul-2017,674.0,670.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,207106.0,,,,,,,,,,,,47700.0,,,,2.0,14793.0,3828.0,82.4,0.0,0.0,171.0,179.0,13.0,13.0,1.0,13.0,,,,0.0,5.0,7.0,6.0,8.0,13.0,13.0,21.0,7.0,16.0,0.0,0.0,0.0,0.0,100.0,83.3,0.0,0.0,238224.0,92897.0,21700.0,67708.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59242257,,12000.0,12000.0,11900.0, 36 months, 11.53%,395.89,B,B5,legal assistant ,4 years,RENT,34000.0,Verified,Sep-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59242257,,credit_card,Credit card refinancing,640xx,MO,21.92,1.0,Nov-1993,670.0,674.0,0.0,17.0,,17.0,0.0,14633.0,49.4%,32.0,f,5162.47,5119.45,8701.89,8629.37,6837.53,1864.36,0.0,0.0,0.0,Jul-2017,395.89,Aug-2017,Jul-2017,684.0,680.0,0.0,45.0,1.0,INDIVIDUAL,,,,0.0,1228.0,17394.0,,,,,,,,,,,,29600.0,,,,15.0,1160.0,2641.0,71.3,0.0,0.0,137.0,261.0,7.0,3.0,0.0,20.0,17.0,8.0,17.0,2.0,4.0,9.0,4.0,9.0,4.0,16.0,28.0,9.0,17.0,0.0,0.0,0.0,3.0,90.6,25.0,0.0,0.0,32600.0,17394.0,9200.0,3000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59082333,,18000.0,18000.0,18000.0, 36 months,  7.89%,563.15,A,A5,Senior HR Support Engineer,6 years,RENT,61000.0,Verified,Aug-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59082333,,debt_consolidation,Debt consolidation,981xx,WA,27.4,0.0,May-1985,715.0,719.0,0.0,37.0,,10.0,0.0,15703.0,71.1%,18.0,w,7508.27,7508.27,12381.21,12381.21,10491.73,1889.48,0.0,0.0,0.0,Jul-2017,563.15,Aug-2017,Jul-2017,769.0,765.0,0.0,,1.0,INDIVIDUAL,,,,0.0,81.0,45729.0,,,,,,,,,,,,22100.0,,,,1.0,4573.0,3349.0,78.1,0.0,0.0,155.0,363.0,49.0,13.0,0.0,49.0,,13.0,37.0,0.0,3.0,5.0,3.0,5.0,9.0,5.0,8.0,5.0,10.0,0.0,0.0,0.0,0.0,88.9,66.7,0.0,0.0,80682.0,45729.0,15300.0,58582.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59289979,,1800.0,1800.0,1800.0, 36 months,  9.17%,57.39,B,B2,Tool & Die Designer,10+ years,MORTGAGE,90000.0,Not Verified,Sep-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59289979,,vacation,Vacation,175xx,PA,26.4,0.0,Dec-1989,700.0,704.0,2.0,,,18.0,0.0,52525.0,67%,40.0,f,0.0,0.0,1985.516537,1985.52,1800.0,185.52,0.0,0.0,0.0,Jan-2017,1125.59,,Jan-2017,794.0,790.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,224497.0,,,,,,,,,,,,78400.0,,,,3.0,13206.0,4592.0,87.6,0.0,0.0,155.0,308.0,0.0,0.0,2.0,69.0,,0.0,,0.0,5.0,12.0,5.0,10.0,14.0,14.0,24.0,12.0,18.0,0.0,0.0,0.0,2.0,100.0,80.0,0.0,0.0,284611.0,100361.0,36900.0,64571.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
59081950,,7000.0,7000.0,7000.0, 36 months,  7.26%,216.98,A,A4,foreman,10+ years,RENT,60000.0,Verified,Sep-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59081950,,debt_consolidation,Debt consolidation,445xx,OH,8.16,0.0,Sep-1989,720.0,724.0,1.0,26.0,,12.0,0.0,4956.0,20.4%,23.0,w,0.0,0.0,7635.17342086,7635.17,7000.0,635.17,0.0,0.0,0.0,Jun-2017,27.59,,Jun-2017,769.0,765.0,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,121696.0,,,,,,,,,,,,24300.0,,,,0.0,11063.0,12144.0,29.0,0.0,0.0,167.0,311.0,25.0,25.0,3.0,54.0,26.0,3.0,26.0,0.0,4.0,4.0,7.0,7.0,8.0,10.0,12.0,4.0,12.0,0.0,0.0,0.0,0.0,78.3,28.6,0.0,0.0,172124.0,12615.0,17100.0,14824.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
